pct_trust_who,trust_who_se,pct_trust_who_unw,trust_who_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.532494,0.017773,0.541296,0.017797,787.0,Argentina,ARG,ARG,20201221
0.45063,0.018202,0.465426,0.018156,752.0,Australia,AUS,AUS,20201221
0.268363,0.040479,0.291339,0.039475,127.0,Austria,AUT,AUT,20201221
0.704625,0.041388,0.726496,0.042358,117.0,Bangladesh,BGD,BGD,20201221
0.29881,0.043499,0.376,0.041106,125.0,Belgium,BEL,BEL,20201221
0.482354,0.036261,0.513089,0.036251,191.0,Bolivia,BOL,BOL,20201221
0.701909,0.006871,0.720141,0.007001,4270.0,Brazil,BRA,BRA,20201221
0.458961,0.016847,0.46697,0.016827,878.0,Canada,CAN,CAN,20201221
0.506671,0.024768,0.539409,0.024843,406.0,Chile,CHL,CHL,20201221
0.614115,0.015705,0.623295,0.015777,953.0,Colombia,COL,COL,20201221
0.687469,0.033727,0.723164,0.03494,177.0,Costa Rica,CRI,CRI,20201221
0.194026,0.034832,0.175,0.036251,120.0,Czech Republic,CZE,CZE,20201221
0.464328,0.032184,0.432773,0.032396,238.0,Denmark,DNK,DNK,20201221
0.512882,0.044319,0.523438,0.044353,128.0,Dominican Republic,DOM,DOM,20201221
0.522283,0.025719,0.535809,0.02576,377.0,Ecuador,ECU,ECU,20201221
0.491597,0.023719,0.514607,0.023726,445.0,Egypt,EGY,EGY,20201221
0.596911,0.03762,0.622754,0.038072,167.0,El Salvador,SLV,SLV,20201221
0.309363,0.017142,0.304709,0.017214,722.0,France,FRA,FRA,20201221
0.345817,0.016652,0.349574,0.01661,821.0,Germany,DEU,DEU,20201221
0.457408,0.047948,0.458716,0.047938,109.0,Greece,GRC,GRC,20201221
0.602837,0.037792,0.607143,0.037864,168.0,Guatemala,GTM,GTM,20201221
0.495436,0.045522,0.441667,0.045833,120.0,Hong Kong,HKG,HKG,20201221
0.277347,0.032018,0.319249,0.030747,213.0,Hungary,HUN,HUN,20201221
0.628909,0.013894,0.634775,0.01394,1202.0,India,IND,IND,20201221
0.363963,0.016926,0.378345,0.016792,822.0,Indonesia,IDN,IDN,20201221
0.489903,0.049406,0.441176,0.049742,102.0,Iraq,IRQ,IRQ,20201221
0.548283,0.044017,0.492308,0.043817,130.0,Ireland,IRL,IRL,20201221
0.531991,0.03619,0.465969,0.036199,191.0,Israel,ISR,ISR,20201221
0.489715,0.018162,0.51715,0.018169,758.0,Italy,ITA,ITA,20201221
0.398781,0.00833,0.381358,0.008397,3401.0,Japan,JPN,JPN,20201221
0.349245,0.048242,0.36,0.047913,100.0,Jordan,JOR,JOR,20201221
0.731172,0.045546,0.654545,0.042465,110.0,Kenya,KEN,KEN,20201221
0.585318,0.030031,0.591078,0.030094,269.0,Malaysia,MYS,MYS,20201221
0.686527,0.007727,0.706068,0.007868,3477.0,Mexico,MEX,MEX,20201221
0.303499,0.027678,0.294118,0.027929,272.0,Netherlands,NLD,NLD,20201221
0.402496,0.032096,0.411017,0.03199,236.0,New Zealand,NZL,NZL,20201221
0.695777,0.036954,0.652695,0.035709,167.0,Nigeria,NGA,NGA,20201221
0.514746,0.037889,0.514286,0.037888,175.0,Norway,NOR,NOR,20201221
0.615135,0.03551,0.613757,0.035486,189.0,Pakistan,PAK,PAK,20201221
0.44662,0.045291,0.438017,0.045383,121.0,Panama,PAN,PAN,20201221
0.588874,0.027029,0.601824,0.027168,329.0,Peru,PER,PER,20201221
